Company Name,Symbol
Aditya Birla Capital Ltd.,ABCAPITAL
Alkem Laboratories Ltd.,ALKEM
Apollo Tyres Ltd.,APOLLOTYRE
Ashok Leyland Ltd.,ASHOKLEY
AU Small Finance Bank Ltd.,AUBANK
Aurobindo Pharma Ltd.,AUROPHARMA
Balkrishna Industries Ltd.,BALKRISIND
Bank of India,BANKINDIA
Bharat Forge Ltd.,BHARATFORG
Biocon Ltd.,BIOCON
Coforge Ltd.,COFORGE
Colgate-Palmolive (India) Ltd.,COLPAL
Container Corporation of India Ltd.,CONCOR
Coromandel International Ltd.,COROMANDEL
Crompton Greaves Consumer Electricals Ltd.,CROMPTON
Deepak Nitrite Ltd.,DEEPAKNTR
Escorts Kubota Ltd.,ESCORTS
Federal Bank Ltd.,FEDERALBNK
Fortis Healthcare Ltd.,FORTIS
GMR Airports Ltd.,GMRAIRPORT
Godrej Properties Ltd.,GODREJPROP
Hindustan Petroleum Corporation Ltd.,HINDPETRO
IDFC First Bank Ltd.,IDFCFIRSTB
Indian Hotels Company Ltd.,INDHOTEL
Indraprastha Gas Ltd.,IGL
Jubilant Foodworks Ltd.,JUBLFOOD
L&T Finance Ltd.,LTF
L&T Technology Services Ltd.,LTTS
Lupin Ltd.,LUPIN
Max Financial Services Ltd.,MFSL
Max Healthcare Institute Ltd.,MAXHEALTH
MRF Ltd.,MRF
Muthoot Finance Ltd.,MUTHOOTFIN
Oberoi Realty Ltd.,OBEROIRLTY
Oracle Financial Services Software Ltd.,OFSS
Page Industries Ltd.,PAGEIND
Persistent Systems Ltd.,PERSISTENT
Petronet LNG Ltd.,PETRONET
Phoenix Mills Ltd.,PHOENIXLTD
Polycab India Ltd.,POLYCAB
PI Industries Ltd.,PIIND
Prestige Estates Projects Ltd.,PRESTIGE
Sun TV Network Ltd.,SUNTV
Supreme Industries Ltd.,SUPREMEIND
Tata Communications Ltd.,TATACOMM
Tata Elxsi Ltd.,TATAELXSI
Tata Power Company Ltd.,TATAPOWER
Tube Investments of India Ltd.,TIINDIA
UCO Bank,UCOBANK
Union Bank of India,UNIONBANK
United Breweries Ltd.,UBL
Voltas Ltd.,VOLTAS
Whirlpool of India Ltd.,WHIRLPOOL
Yes Bank Ltd.,YESBANK
