Company Name,Symbol
ABB India Ltd.,ABB
Adani Energy Solutions Ltd.,ADANIENSOL
Adani Green Energy Ltd.,ADANIGREEN
Adani Power Ltd.,ADANIPOWER
Ambuja Cements Ltd.,AMBUJACEM
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bank of Baroda,BANKBARODA
Berger Paints India Ltd.,BERGEPAINT
Bosch Ltd.,BOSCHLTD
Canara Bank,CANBK
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN
Cummins India Ltd.,CUMMINSIND
Dabur India Ltd.,DABUR
DLF Ltd.,DLF
GAIL (India) Ltd.,GAIL
Godrej Consumer Products Ltd.,GODREJCP
Havells India Ltd.,HAVELLS
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
Indian Oil Corporation Ltd.,IOC
Indian Railway Finance Corporation Ltd.,IRFC
Indus Towers Ltd.,INDUSTOWER
InterGlobe Aviation Ltd.,INDIGO
Jindal Steel & Power Ltd.,JINDALSTEL
Life Insurance Corporation of India,LICI
Mankind Pharma Ltd.,MANKIND
Marico Ltd.,MARICO
Motilal Oswal Financial Services Ltd.,MOTILALOFS
Pidilite Industries Ltd.,PIDILITIND
Power Finance Corporation Ltd.,PFC
Punjab National Bank,PNB
REC Ltd.,RECLTD
SBI Cards and Payment Services Ltd.,SBICARD
Siemens Ltd.,SIEMENS
SRF Ltd.,SRF
Torrent Pharmaceuticals Ltd.,TORNTPHARM
TVS Motor Company Ltd.,TVSMOTOR
United Spirits Ltd.,UNITDSPR
Vedanta Ltd.,VEDL
Zomato Ltd.,ZOMATO
Zydus Lifesciences Ltd.,ZYDUSLIFE
