Company Name,Symbol
Aarti Industries Ltd.,AARTIIND
Aavas Financiers Ltd.,AAVAS
Affle (India) Ltd.,AFFLE
Amber Enterprises India Ltd.,AMBER
Anand Rathi Wealth Ltd.,ANANDRATHI
Angel One Ltd.,ANGELONE
Apar Industries Ltd.,APARINDS
Bata India Ltd.,BATAINDIA
BSE Ltd.,BSE
Birlasoft Ltd.,BSOFT
Blue Star Ltd.,BLUESTARCO
Campus Activewear Ltd.,CAMPUS
Can Fin Homes Ltd.,CANFINHOME
Caplin Point Laboratories Ltd.,CAPLIPOINT
Carborundum Universal Ltd.,CARBORUNIV
Central Depository Services (India) Ltd.,CDSL
Century Plyboards (India) Ltd.,CENTURYPLY
CESC Ltd.,CESC
City Union Bank Ltd.,CUB
Craftsman Automation Ltd.,CRAFTSMAN
Cyient Ltd.,CYIENT
Data Patterns (India) Ltd.,DATAPATTNS
Delta Corp Ltd.,DELTACORP
Devyani International Ltd.,DEVYANI
Dixon Technologies (India) Ltd.,DIXON
Emami Ltd.,EMAMILTD
Engineers India Ltd.,ENGINERSIN
EPL Ltd.,EPL
Equitas Small Finance Bank Ltd.,EQUITASBNK
Finolex Cables Ltd.,FINCABLES
Finolex Industries Ltd.,FINPIPE
Firstsource Solutions Ltd.,FSL
GE Power India Ltd.,GEPIL
Gillette India Ltd.,GILLETTE
Godfrey Phillips India Ltd.,GODFRYPHLP
Granules India Ltd.,GRANULES
Gujarat Fluorochemicals Ltd.,FLUOROCHEM
Gujarat Gas Ltd.,GUJGASLTD
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC
HFCL Ltd.,HFCL
Himadri Speciality Chemical Ltd.,HSCL
Home First Finance Company India Ltd.,HOMEFIRST
IDBI Bank Ltd.,IDBI
IIFL Finance Ltd.,IIFL
Ipca Laboratories Ltd.,IPCALAB
J.B. Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM
J.K. Cement Ltd.,JKCEMENT
Jindal Stainless Ltd.,JSL
JK Lakshmi Cement Ltd.,JKLAKSHMI
Just Dial Ltd.,JUSTDIAL
Kajaria Ceramics Ltd.,KAJARIACER
Kalyan Jewellers India Ltd.,KALYANKJIL
KEC International Ltd.,KEC
KNR Constructions Ltd.,KNRCON
KPIT Technologies Ltd.,KPITTECH
Krishna Institute of Medical Sciences Ltd.,KIMS
Laurus Labs Ltd.,LAURUSLABS
Mahindra Lifespace Developers Ltd.,MAHLIFE
Mazagon Dock Shipbuilders Ltd.,MAZDOCK
Metropolis Healthcare Ltd.,METROPOLIS
NATCO Pharma Ltd.,NATCOPHARM
Navin Fluorine International Ltd.,NAVINFLUOR
Nuvama Wealth Management Ltd.,NUVAMA
PNB Housing Finance Ltd.,PNBHOUSING
Poonawalla Fincorp Ltd.,POONAWALLA
PVR INOX Ltd.,PVRINOX
Radico Khaitan Ltd.,RADICO
Railtel Corporation of India Ltd.,RAILTEL
Rainbow Children's Medicare Ltd.,RAINBOW
Redington Ltd.,REDINGTON
Route Mobile Ltd.,ROUTE
Sonata Software Ltd.,SONATSOFTW
Sundram Fasteners Ltd.,SUNDRMFAST
Suzlon Energy Ltd.,SUZLON
Swan Energy Ltd.,SWANENERGY
Syngene International Ltd.,SYNGENE
Tanla Platforms Ltd.,TANLA
Tata Chemicals Ltd.,TATACHEM
Tata Teleservices (Maharashtra) Ltd.,TTML
Techno Electric & Engineering Company Ltd.,TECHNOE
Thermax Ltd.,THERMAX
Tejas Networks Ltd.,TEJASNET
Triveni Turbine Ltd.,TRITURBINE
TTK Prestige Ltd.,TTKPRESTIG
Vijaya Diagnostic Centre Ltd.,VIJAYA
Welspun Corp Ltd.,WELCORP
Zee Entertainment Enterprises Ltd.,ZEEL
